id;x;y;w;h;channel;renderer;content;display_after_millis;display_duration_millis
1;24101;28164;19389;7945;next joyfully ellipse;puddle sniffle swill;whose mmm gosh;18047;17375
2;23608;16455;19632;19782;consist;wherever annually whereas;wherever tight;6439;4778
3;20827;4716;16876;10153;far yet softly;even but;aw impure;8221;169
4;13954;11963;15890;10046;damp because positively;pro;questionable zowie;18053;18997
5;4582;16782;20980;5000;righteously redeploy;gadzooks across meaningfully;energise cruelly;12912;4610
6;23127;20772;18166;28051;raise whenever;anti yowza;spotted conceive;2028;14836
7;5199;5329;5344;33;conventional lone bah;deserted;crowded reclamation;17533;3209
8;23748;32067;22949;8487;or;writhing aha dental;marginalize suite;11260;12178
9;14341;10429;12486;21039;pry pfft geez;inasmuch alb midst;against or;9260;5490
10;7441;23867;22327;21818;surge;stealthily savor veranda;aid;18649;28278
